ksec_since_2459583.86275419_B	rel_flux_T1_d(mag)	_d(mag)
5.626066000	-0.002028976	0.001350006
5.653067000	-0.000746097	0.001343415
5.680065000	0.002858486	0.001397708
5.707070000	0.003951282	0.001406612
5.734078000	0.000484296	0.001401013
5.761069000	-0.006582938	0.001394850
5.788075000	-0.001060693	0.001387902
5.815071000	-0.004196441	0.001379205
5.842073000	-0.001208306	0.001378101
5.869070000	0.006664818	0.001370817
5.896084000	0.018621955	0.001365992
5.923074000	0.004183669	0.001358915
5.950078000	0.012918640	0.001353214
5.977072000	-0.000759724	0.001434485
6.004076000	0.002214248	0.001425592
6.031075000	-0.002977988	0.001419728
6.058077000	0.004133687	0.001413148
6.085088000	0.005709139	0.001408689
6.112081000	0.004257336	0.001397961
6.139075000	0.004658257	0.001392483
6.166071000	-0.004884609	0.001389476
6.193079000	0.006891726	0.001382262
6.220079000	0.002260543	0.001378083
6.247081000	0.000980457	0.001374727
6.274079000	0.000209501	0.001368159
6.301079000	-0.004914076	0.001441655
6.328083000	-0.005541681	0.001432336
6.355081000	-0.000375379	0.001425685
6.382084000	-0.009916625	0.001422895
6.409079000	-0.007503708	0.001414724
6.436075000	-0.018525709	0.001411052
6.463083000	-0.007343473	0.001404488
6.490095000	0.003065170	0.001396353
6.517083000	0.001358229	0.001388456
6.544086000	0.002072697	0.001385131
6.571094000	0.009824102	0.001372889
6.598093000	-0.003302750	0.001446307
6.625080000	-0.001122490	0.001453830
6.652088000	-0.009261183	0.001446815
6.679088000	-0.008964145	0.001436233
6.706080000	-0.006940860	0.001433718
6.733092000	-0.011489149	0.001426928
6.760086000	-0.002119225	0.001417402
6.787092000	0.001297080	0.001413110
6.814096000	-0.001924775	0.001407182
6.841094000	0.009216199	0.001403163
6.868082000	0.004149317	0.001394540
6.895085000	0.007941665	0.001387291
6.922092000	0.000713149	0.001406976
6.949089000	-0.001699701	0.001471990
6.976084000	-0.007085001	0.001466552
7.003082000	-0.011418576	0.001457014
7.030083000	-0.001708968	0.001451939
7.057099000	0.008971846	0.001440454
7.084098000	0.009086329	0.001432831
7.111087000	0.005636788	0.001427335
7.138091000	0.009702950	0.001424722
7.165085000	0.004537916	0.001416329
7.192100000	0.008738362	0.001411036
7.219086000	-0.000080596	0.001409857
7.246096000	0.005741617	0.001399938
7.273096000	-0.001508019	0.001489311
7.300088000	-0.004798558	0.001483684
7.327104000	-0.008895884	0.001481699
7.354096000	0.001505084	0.001467769
7.381094000	0.000194980	0.001464583
7.408104000	0.001449687	0.001452803
7.435096000	-0.006034446	0.001450096
7.462094000	0.006328210	0.001441553
7.489105000	0.009789011	0.001434606
7.516098000	0.000715652	0.001433964
7.543091000	0.011866051	0.001427152
