Kilo-Sec_B	rel_flux_T1_d(mag)	rel_flux_err_T1_d(mag)
21.274531	0.054911	0.00057
21.301574	0.051671	0.000578
21.328531	0.020897	0.000571
21.355574	0.006142	0.000567
21.382531	0.020191	0.000569
21.409574	0.032186	0.000572
21.436531	-0.025835	0.000569
21.436531	-0.025835	0.000569
21.463574	-0.009849	0.000568
21.490531	-0.043361	0.000568
21.517574	0.031665	0.000574
21.544531	0.046801	0.000576
21.571574	-0.004092	0.000568
21.598531	-0.009996	0.000568
21.625574	0.003249	0.000572
21.652531	-0.001899	0.000568
21.679574	0.018009	0.000571
21.706531	0.01295	0.000575
21.733488	0.034421	0.000575
21.760531	0.037481	0.00058
21.787488	0.017085	0.000576
21.814531	0.005439	0.000565
21.841488	-0.011443	0.000565
21.868531	-0.048063	0.00057
21.895488	0.00935	0.000569
21.922531	0.014367	0.000573
21.949488	-0.047866	0.000569
21.976531	-0.002461	0.000569
22.003488	-0.036445	0.000568
22.031482	-0.022002	0.00057
22.058525	-0.010975	0.000567
22.085482	-0.014025	0.00057
22.112525	-0.051476	0.00057
22.139482	-0.071497	0.000571
22.166525	0.003018	0.000571
22.193482	0.013714	0.000572
22.220525	-0.002783	0.000574
22.247482	0.00539	0.000571
22.274525	0.025962	0.000579
22.301482	0.028231	0.000581
22.328525	0.023877	0.000581
22.678445	0.046163	0.000593
22.705488	0.013558	0.000579
22.733482	0.025163	0.000585
22.760438	0.025106	0.000585
22.787482	0.007003	0.000581
22.814438	0.031448	0.000615
22.841482	0.020479	0.000591
22.868438	0.025505	0.000586
22.895482	0.001069	0.000588
22.922438	0.000338	0.000584
22.949482	0.008175	0.000582
22.976438	0.013727	0.000589
23.003482	0.016982	0.000582
23.030438	0.025965	0.000584
23.057482	0.007186	0.000592
23.084438	0.021747	0.000599
23.111482	0.022357	0.00061
23.138438	0.016982	0.000599
23.165395	0.023552	0.000606
23.19745	0.027248	0.0006
23.224406	0.021575	0.000612
23.25145	0.021911	0.000599
23.278406	0.026002	0.000607
23.30545	0.022632	0.000596
23.332406	0.004027	0.000595
23.35945	0.017997	0.000597
23.386406	0.010538	0.000593
23.41345	0.010616	0.000599
23.440406	-0.008176	0.000591
23.46745	-0.031792	0.000588
23.494406	0.008678	0.000596
23.52145	-0.012827	0.000587
23.548406	-0.015394	0.000587
23.57545	-0.005021	0.00059
23.602406	-0.02806	0.000586
23.629363	-0.026417	0.000585
23.656406	-0.009858	0.000589
23.683363	-0.032528	0.000584
23.710406	-0.02908	0.000584
23.737363	0.001154	0.000603
23.764406	-0.006231	0.000604
23.791363	0.005099	0.000608
23.818406	0.006062	0.00061
23.845363	0.002967	0.000608
23.872406	-0.013216	0.000602
23.899363	0.003718	0.000607
23.926406	-0.001698	0.0006
23.953363	-0.001367	0.000604
23.980406	-0.013562	0.0006
24.007363	0.004561	0.000609
24.034406	-0.010615	0.000612
24.061363	-0.01562	0.000599
24.088406	0.000806	0.000607
24.115363	0.002439	0.000605
24.14232	-0.016436	0.000603
24.169363	-0.023442	0.000602
24.19632	-0.006241	0.000607
24.223363	-0.013162	0.0006
24.250406	-0.023411	0.000604
24.277363	-0.004901	0.000609
24.304406	-0.012884	0.000603
24.331363	-0.016049	0.000604
24.35832	-0.006613	0.000606
24.385363	-0.018956	0.000606
24.41232	-0.009934	0.000614
